UserID,UserName,Age,Gender,Email,total_courses_enrolled,unique_categories_count,avg_courses_per_category,active_span_days,enrollment_frequency_days,avg_course_duration,preferred_category,preferred_level,avg_course_rating_enrolled,paid_course_ratio,prop_beginner,prop_intermediate,prop_advanced,total_spending,avg_spending_per_course,diversity_score,category_entropy,learning_depth_index,cat_prop_Artificial_Intelligence,cat_prop_Business,cat_prop_Cybersecurity,cat_prop_Data_Science,cat_prop_Design,cat_prop_Digital_Marketing,cat_prop_Finance,cat_prop_Machine_Learning,cat_prop_Marketing,cat_prop_Programming,cat_prop_Project_Management,cat_prop_Web_Development,gender_binary,cluster_label,pca_x,pca_y,pca_z,persona_title
U00001,wilsonjordan,15,Male,patricia27@hotmail.com,1,1,1.0,0,0.0,47.44,Cybersecurity,Intermediate,1.35,1.0,0.0,1.0,0.0,394.26,394.26,0.08333333333333333,-1.4426951595367387e-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,-1.1103526936048627,-0.3001770594537518,1.8644962236239901,Intermediate Skill Builders
U00002,angela22,29,Female,hallrandy@hotmail.com,1,1,1.0,0,0.0,45.13,Programming,Beginner,2.88,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,-1.4426951595367387e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,-1.5027753880745671,-2.8984858751303544,-1.525296409971329,Foundational & Budget Learners
U00003,morrisonamanda,33,Female,ganderson@yahoo.com,11,7,1.5714285714285714,307,30.7,22.73,Marketing,Advanced,2.8890909090909087,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.36363636363636365,613.98,55.81636363636364,0.5833333333333334,2.5503406994475224,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.0,3,3.701656202562922,0.24889432133213632,-0.7886446508497321,Career Up-skillers & Power Learners
U00004,fthornton,23,Female,christensencatherine@outlook.com,13,8,1.625,321,26.75,24.13,Digital Marketing,Intermediate,3.4515384615384614,0.38461538461538464,0.3076923076923077,0.46153846153846156,0.23076923076923078,982.05,75.54230769230769,0.6666666666666666,2.873140667971573,0.9230769230769231,0.15384615384615385,0.0,0.0,0.15384615384615385,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,3,4.620692137453071,-0.06396040796756129,-0.5482878238885598,Career Up-skillers & Power Learners
U00005,fostergeoffrey,21,Male,karenfuentes@yahoo.com,2,2,1.0,83,83.0,24.275000000000002,Programming,Beginner,2.0549999999999997,0.5,0.5,0.0,0.5,346.71,173.355,0.16666666666666666,0.99999999711461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0,-0.09175909460714207,-0.5548892753045733,1.2704346892991834,Foundational & Budget Learners
U00006,jacksonjose,21,Male,wilsonnatalie@outlook.com,1,1,1.0,0,0.0,44.96,Machine Learning,Advanced,3.89,1.0,0.0,0.0,1.0,0.78,0.78,0.08333333333333333,-1.4426951595367387e-09,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,-1.6286298134367805,2.3778174243218624,0.30695661653385886,Advanced Domain Specialists
U00007,grodriguez,24,Male,lopezjoseph@gmail.com,1,1,1.0,0,0.0,26.52,Cybersecurity,Intermediate,1.91,0.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,-1.4426951595367387e-09,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,-1.740480534513708,0.056383894441457916,-1.3304990740827296,Intermediate Skill Builders
U00008,adkinsapril,33,Female,sanfordtaylor@gmail.com,1,1,1.0,0,0.0,34.83,Finance,Intermediate,4.1,0.0,0.0,1.0,0.0,0.0,0.0,0.08333333333333333,-1.4426951595367387e-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-1.706807243959122,-0.4971089359926233,-1.8442212537174678,Intermediate Skill Builders
U00009,heathercallahan,20,Female,chelseastephenson@outlook.com,1,1,1.0,0,0.0,48.84,Design,Advanced,2.72,1.0,0.0,0.0,1.0,276.37,276.37,0.08333333333333333,-1.4426951595367387e-09,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-1.2891075803857548,2.634563328527909,2.0939749468748343,Advanced Domain Specialists
U00010,qlam,34,Female,brian31@outlook.com,2,2,1.0,60,60.0,27.005000000000003,Artificial Intelligence,Beginner,3.165,0.5,0.5,0.5,0.0,326.02,163.01,0.16666666666666666,0.99999999711461,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.1793751197531812,-1.4105516818914006,1.3350607435163377,Foundational & Budget Learners
